,nr,name,y,x,google map
0,1,Abundancia,38.381987,-6.640711,"http://maps.google.com/maps?ll=38.381987,-6.640711&spn=0.01,0.01&t=h&q=38.381987,-6.640711"
1,2,Almaşu Mare,46.110667,23.116399,"http://maps.google.com/maps?ll=46.110667,23.116399&spn=0.01,0.01&t=h&q=46.110667,23.116399"
2,3,Scărişoara,46.466667,22.85,"http://maps.google.com/maps?ll=46.466667,22.85&spn=0.01,0.01&t=h&q=46.466667,22.85"
3,4,Vidolm,46.480108,23.511795,"http://maps.google.com/maps?ll=46.480108,23.511795&spn=0.01,0.01&t=h&q=46.480108,23.511795"
4,5,Sălciua de Sus,46.39432,23.40113,"http://maps.google.com/maps?ll=46.39432,23.40113&spn=0.01,0.01&t=h&q=46.39432,23.40113"
5,6,Bucium,46.264,23.176,"http://maps.google.com/maps?ll=46.264,23.176&spn=0.01,0.01&t=h&q=46.264,23.176"
6,7,Valea Dosului,46.166667,23.166667,"http://maps.google.com/maps?ll=46.166667,23.166667&spn=0.01,0.01&t=h&q=46.166667,23.166667"
7,8,Bistra,46.378701,23.102108,"http://maps.google.com/maps?ll=46.378701,23.102108&spn=0.01,0.01&t=h&q=46.378701,23.102108"
8,9,Roşia Montană,46.3,23.133333,"http://maps.google.com/maps?ll=46.3,23.133333&spn=0.01,0.01&t=h&q=46.3,23.133333"
9,10,Avram Iancu,46.345392,22.873996,"http://maps.google.com/maps?ll=46.345392,22.873996&spn=0.01,0.01&t=h&q=46.345392,22.873996"
10,11,Albac,46.453429,22.949816,"http://maps.google.com/maps?ll=46.453429,22.949816&spn=0.01,0.01&t=h&q=46.453429,22.949816"
11,12,Lupşa,46.369096,23.206326,"http://maps.google.com/maps?ll=46.369096,23.206326&spn=0.01,0.01&t=h&q=46.369096,23.206326"
12,13,San Juan Bautista,38.611369,-4.498596,"http://maps.google.com/maps?ll=38.611369,-4.498596&spn=0.01,0.01&t=h&q=38.611369,-4.498596"
13,14,San Quintin,38.8167,-4.2833,"http://maps.google.com/maps?ll=38.8167,-4.2833&spn=0.01,0.01&t=h&q=38.8167,-4.2833"
14,15,Pozo Rico (Alcudia),38.43136,-3.944377,"http://maps.google.com/maps?ll=38.43136,-3.944377&spn=0.01,0.01&t=h&q=38.43136,-3.944377"
15,16,La Fortuna,38.834203,-4.358941,"http://maps.google.com/maps?ll=38.834203,-4.358941&spn=0.01,0.01&t=h&q=38.834203,-4.358941"
16,17,Los Dolores,38.643081,-4.451896,"http://maps.google.com/maps?ll=38.643081,-4.451896&spn=0.01,0.01&t=h&q=38.643081,-4.451896"
17,18,Los Galayos,38.451619,-3.938281,"http://maps.google.com/maps?ll=38.451619,-3.938281&spn=0.01,0.01&t=h&q=38.451619,-3.938281"
18,19,Villagutiérrez,38.906131,-4.455302,"http://maps.google.com/maps?ll=38.906131,-4.455302&spn=0.01,0.01&t=h&q=38.906131,-4.455302"
19,20,Petaca,38.557017,-4.251091,"http://maps.google.com/maps?ll=38.557017,-4.251091&spn=0.01,0.01&t=h&q=38.557017,-4.251091"
20,21,Valdeinfierno,38.865672,-4.523955,"http://maps.google.com/maps?ll=38.865672,-4.523955&spn=0.01,0.01&t=h&q=38.865672,-4.523955"
21,22,Castellar,38.883867,-4.484575,"http://maps.google.com/maps?ll=38.883867,-4.484575&spn=0.01,0.01&t=h&q=38.883867,-4.484575"
22,23,La Victoria,38.814278,-4.497437,"http://maps.google.com/maps?ll=38.814278,-4.497437&spn=0.01,0.01&t=h&q=38.814278,-4.497437"
23,24,Candelaria,38.661911,-4.546586,"http://maps.google.com/maps?ll=38.661911,-4.546586&spn=0.01,0.01&t=h&q=38.661911,-4.546586"
24,25,Solana Ballesteros,38.72335,-4.862978,"http://maps.google.com/maps?ll=38.72335,-4.862978&spn=0.01,0.01&t=h&q=38.72335,-4.862978"
25,26,Quinto del Hierro,38.745273,-4.759526,"http://maps.google.com/maps?ll=38.745273,-4.759526&spn=0.01,0.01&t=h&q=38.745273,-4.759526"
26,27,El Pleito,38.80539,-4.404521,"http://maps.google.com/maps?ll=38.80539,-4.404521&spn=0.01,0.01&t=h&q=38.80539,-4.404521"
27,28,El Mochuelo,38.561692,-4.589125,"http://maps.google.com/maps?ll=38.561692,-4.589125&spn=0.01,0.01&t=h&q=38.561692,-4.589125"
28,29,La Cabra,38.662461,-4.467466,"http://maps.google.com/maps?ll=38.662461,-4.467466&spn=0.01,0.01&t=h&q=38.662461,-4.467466"
29,30,S Marcos,38.659547,-4.523543,"http://maps.google.com/maps?ll=38.659547,-4.523543&spn=0.01,0.01&t=h&q=38.659547,-4.523543"
30,31,El Chorrillo,38.444371,-3.924495,"http://maps.google.com/maps?ll=38.444371,-3.924495&spn=0.01,0.01&t=h&q=38.444371,-3.924495"
31,32,La Luz (Alcudia),38.691206,-4.308443,"http://maps.google.com/maps?ll=38.691206,-4.308443&spn=0.01,0.01&t=h&q=38.691206,-4.308443"
32,33,La Romana,38.633892,-4.415388,"http://maps.google.com/maps?ll=38.633892,-4.415388&spn=0.01,0.01&t=h&q=38.633892,-4.415388"
33,34,Diogenes,38.513458,-4.127,"http://maps.google.com/maps?ll=38.513458,-4.127&spn=0.01,0.01&t=h&q=38.513458,-4.127"
34,35,Romanilla,38.618209,-4.326631,"http://maps.google.com/maps?ll=38.618209,-4.326631&spn=0.01,0.01&t=h&q=38.618209,-4.326631"
35,36,EL Gallo,38.569109,-4.355739,"http://maps.google.com/maps?ll=38.569109,-4.355739&spn=0.01,0.01&t=h&q=38.569109,-4.355739"
36,37,Río Valmayor,38.42108,-4.333395,"http://maps.google.com/maps?ll=38.42108,-4.333395&spn=0.01,0.01&t=h&q=38.42108,-4.333395"
37,38,Socorro,38.726417,-3.691899,"http://maps.google.com/maps?ll=38.726417,-3.691899&spn=0.01,0.01&t=h&q=38.726417,-3.691899"
38,39,San Serafín,38.478176,-4.501499,"http://maps.google.com/maps?ll=38.478176,-4.501499&spn=0.01,0.01&t=h&q=38.478176,-4.501499"
39,40,Las Minillas,38.8815,-4.974539,"http://maps.google.com/maps?ll=38.8815,-4.974539&spn=0.01,0.01&t=h&q=38.8815,-4.974539"
40,41,El Nido,38.62544,-4.364522,"http://maps.google.com/maps?ll=38.62544,-4.364522&spn=0.01,0.01&t=h&q=38.62544,-4.364522"
41,42,Cobatillas,38.66607,-4.56857,"http://maps.google.com/maps?ll=38.66607,-4.56857&spn=0.01,0.01&t=h&q=38.66607,-4.56857"
42,43,El Borracho,38.87977,-4.937013,"http://maps.google.com/maps?ll=38.87977,-4.937013&spn=0.01,0.01&t=h&q=38.87977,-4.937013"
43,44,El Burcio,38.555455,-3.988416,"http://maps.google.com/maps?ll=38.555455,-3.988416&spn=0.01,0.01&t=h&q=38.555455,-3.988416"
44,45,Cotofia,38.574689,-4.230459,"http://maps.google.com/maps?ll=38.574689,-4.230459&spn=0.01,0.01&t=h&q=38.574689,-4.230459"
45,46,Las Pozas,38.536463,-4.082296,"http://maps.google.com/maps?ll=38.536463,-4.082296&spn=0.01,0.01&t=h&q=38.536463,-4.082296"
46,47,Alderley,53.303,-2.236,"http://maps.google.com/maps?ll=53.303,-2.236&spn=0.01,0.01&t=h&q=53.303,-2.236"
47,48,Herdade da Tinoca,39.07045,-7.144265,"http://maps.google.com/maps?ll=39.07045,-7.144265&spn=0.01,0.01&t=h&q=39.07045,-7.144265"
48,49,Aljustrel,39.6167,-8.6667,"http://maps.google.com/maps?ll=39.6167,-8.6667&spn=0.01,0.01&t=h&q=39.6167,-8.6667"
49,50,Brancanes,37.548654,-8.019287,"http://maps.google.com/maps?ll=37.548654,-8.019287&spn=0.01,0.01&t=h&q=37.548654,-8.019287"
50,51,Serra de Caveira,38.246143000000004,-8.415321,"http://maps.google.com/maps?ll=38.246143000000004,-8.415321&spn=0.01,0.01&t=h&q=38.246143000000004,-8.415321"
51,52,Herdade do Montinho,39.01942,-7.875241,"http://maps.google.com/maps?ll=39.01942,-7.875241&spn=0.01,0.01&t=h&q=39.01942,-7.875241"
52,53,Cueva de la Paloma,37.35976,-2.403741,"http://maps.google.com/maps?ll=37.35976,-2.403741&spn=0.01,0.01&t=h&q=37.35976,-2.403741"
53,54,Sierra Almagrera,37.28333,-1.73333,"http://maps.google.com/maps?ll=37.28333,-1.73333&spn=0.01,0.01&t=h&q=37.28333,-1.73333"
54,55,El Charcón,37.55,-2.6,"http://maps.google.com/maps?ll=37.55,-2.6&spn=0.01,0.01&t=h&q=37.55,-2.6"
55,56,Sierra de Gador,36.953897,-2.492955,"http://maps.google.com/maps?ll=36.953897,-2.492955&spn=0.01,0.01&t=h&q=36.953897,-2.492955"
56,57,Pilar de Jaravía,37.393328,-1.692311,"http://maps.google.com/maps?ll=37.393328,-1.692311&spn=0.01,0.01&t=h&q=37.393328,-1.692311"
57,58,Herrerías (Almería),37.296867,-1.985408,"http://maps.google.com/maps?ll=37.296867,-1.985408&spn=0.01,0.01&t=h&q=37.296867,-1.985408"
58,59,Alpartir,41.416667,-1.383333,"http://maps.google.com/maps?ll=41.416667,-1.383333&spn=0.01,0.01&t=h&q=41.416667,-1.383333"
59,60,Stavelot,50.3833,5.9333,"http://maps.google.com/maps?ll=50.3833,5.9333&spn=0.01,0.01&t=h&q=50.3833,5.9333"
60,61,Arditurri,43.272876,-1.796012,"http://maps.google.com/maps?ll=43.272876,-1.796012&spn=0.01,0.01&t=h&q=43.272876,-1.796012"
61,62,Bastide de Serou,43.012778,1.428611,"http://maps.google.com/maps?ll=43.012778,1.428611&spn=0.01,0.01&t=h&q=43.012778,1.428611"
62,63,Tou de la Mine,42.932629,1.443469,"http://maps.google.com/maps?ll=42.932629,1.443469&spn=0.01,0.01&t=h&q=42.932629,1.443469"
63,64,L'Assaladou,42.950758,1.451866,"http://maps.google.com/maps?ll=42.950758,1.451866&spn=0.01,0.01&t=h&q=42.950758,1.451866"
64,65,Castropodame,42.580044,-6.467308,"http://maps.google.com/maps?ll=42.580044,-6.467308&spn=0.01,0.01&t=h&q=42.580044,-6.467308"
65,66,Villar del Monte,42.2333,-6.3167,"http://maps.google.com/maps?ll=42.2333,-6.3167&spn=0.01,0.01&t=h&q=42.2333,-6.3167"
66,67,Río Turieno,42.440161,-6.227791,"http://maps.google.com/maps?ll=42.440161,-6.227791&spn=0.01,0.01&t=h&q=42.440161,-6.227791"
67,68,El Ganso,42.4667,-6.2,"http://maps.google.com/maps?ll=42.4667,-6.2&spn=0.01,0.01&t=h&q=42.4667,-6.2"
68,69,Manzaneda,42.2667,-6.3167,"http://maps.google.com/maps?ll=42.2667,-6.3167&spn=0.01,0.01&t=h&q=42.2667,-6.3167"
69,70,Peña Bellosa,42.373419,-6.319208,"http://maps.google.com/maps?ll=42.373419,-6.319208&spn=0.01,0.01&t=h&q=42.373419,-6.319208"
